Src IP,Dst IP,isAttack,type_attack
192.168.18.20,13.227.107.75,BENIGN,BENIGN
134.221.96.0,217.101.4.210,BENIGN,BENIGN
134.221.96.4,248.186.4.214,BENIGN,BENIGN
134.221.96.13,209.56.0.40,BENIGN,BENIGN
134.221.96.0,217.101.0.46,BENIGN,BENIGN
134.221.96.11,30.224.0.40,BENIGN,BENIGN
134.221.96.0,217.101.0.42,BENIGN,BENIGN
134.221.96.11,30.224.4.210,BENIGN,BENIGN
134.221.96.4,248.186.0.40,BENIGN,BENIGN
134.221.96.11,30.224.4.214,BENIGN,BENIGN
134.221.96.11,30.224.0.43,BENIGN,BENIGN
134.221.96.13,209.56.0.41,BENIGN,BENIGN
134.221.96.11,30.224.0.46,BENIGN,BENIGN
134.221.96.4,248.186.0.39,BENIGN,BENIGN
134.221.96.0,217.101.0.47,BENIGN,BENIGN
140.82.112.26,192.168.18.20,BENIGN,BENIGN
134.221.96.11,30.224.0.42,BENIGN,BENIGN
134.221.96.1,146.192.4.207,BENIGN,BENIGN
134.221.96.0,217.101.0.40,BENIGN,BENIGN
134.221.96.0,0.0.0.32,BENIGN,BENIGN
134.221.96.0,217.101.0.44,BENIGN,BENIGN
134.221.96.10,99.106.4.210,BENIGN,BENIGN
134.221.96.10,99.106.0.44,BENIGN,BENIGN
134.221.96.11,30.224.0.45,BENIGN,BENIGN
134.221.96.0,217.101.0.41,BENIGN,BENIGN
134.221.96.0,217.101.4.209,BENIGN,BENIGN
134.221.96.10,99.106.0.40,BENIGN,BENIGN
13.227.107.75,192.168.18.20,BENIGN,BENIGN
134.221.96.1,146.192.0.45,BENIGN,BENIGN
192.168.18.20,157.240.226.61,BENIGN,BENIGN
134.221.96.11,30.224.0.41,BENIGN,BENIGN
134.221.96.11,30.224.1.192,BENIGN,BENIGN
134.221.96.1,146.192.4.214,BENIGN,BENIGN
134.221.96.10,99.106.0.43,BENIGN,BENIGN
134.221.96.0,217.101.4.214,BENIGN,BENIGN
192.168.18.20,224.0.0.251,BENIGN,BENIGN
134.221.96.0,217.101.1.192,BENIGN,BENIGN
134.221.96.11,30.224.0.44,BENIGN,BENIGN
134.221.96.1,146.192.0.41,BENIGN,BENIGN
134.221.96.0,217.101.1.198,BENIGN,BENIGN
134.221.96.13,209.56.0.46,BENIGN,BENIGN
134.221.96.0,217.101.0.45,BENIGN,BENIGN
